Timestamp,Provincia,Donde Trabaja,Tipo de beca,AnoConvocatoria,Ano de retorno,Grado Academico,Area de estudio,Trabaja actualmente,Motivo de si/no trabaja,Empleo seguro,Empleo adecuado,Transferencia efectiva de habilidades,Sector laboral,Tiempo para encontrar empleo,Calidad primer empleo,Categoria salarial,Lugar de trabajo,Numero de colegas,Satisfaccion laboral,Motivo (in)satisfaccion laboral,Calidad relativa de empleo ,Satisfaccion salarial,Horas semanales de trabajo,Tiempo de paro,Tiempo de busqueda,Tipo de gestion,Experiencia laboral previa,Motivos dejar previo empleo,Motivo subempleo,Deseos,Disponibilidad para trabajar,Tiempo disponible para trabajar,Gestiones aumento hora empleo,Motivo cambio empleo,Motivo trabajo mas 40hrs
4/19/18 14:11,Azuay,Zona Urbana,Otras,2005.00,2007,Maestria,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,No,Menos del 25%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),"Hablando con amigos o parientes, Tratando de establecer su propio taller, empresa o negocio, Enviando o presentando hojas de vida (carpeta), Otra gestin",Entre 1000 a 1500 dlares,Local de una empresa o del patrono,Menos de 100,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por las pocas posibilidades de progresar",Sigue igual,No,40 horas o ms,,,,,,,,,,,,Horario normal
5/16/18 16:41,Santo Domingo de los Tschilas,Zona Urbana,Otras,2005.00,2006,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,Si,Ms del 75%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (ms de 1 aÐo),"Enviando o presentando hojas de vida (carpeta), Otra gestin",Ms de 2500 dlares,Local de una empresa o del patrono,Menos de 100,Contento,"Por no poder trabajar en el rea de su especializacin, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes, Estoy contento con mi trabajo",Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
4/20/18 18:02,Pichincha,Zona Urbana,Convocatoria Abierta,2007.00,2010,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Ms del 75%,Sector Privado,Dentro del plazo establecido por el SENESCYT (2 meses),Hablando con amigos o parientes,Entre 1500 a 2000 dlares,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por tener ingresos bajos, Por muchas horas de trabajo, Por horarios de trabajo Inconveniente, Por excesiva carga de trabajo en horarios normales",Mejorado,No,40 horas o ms,,,,,,,,,,,,"Exceso de trabajo o clientes, Demasiada carga de trabajo. Han despedido a gente y hay que hacer el trabajo de ellos "
5/16/18 12:59,Guayas,Zona Rural,Otras,2007.00,2015,Otro,Salud y bienestar,SI,,SI,Si,Entre el 25% y el 50%,Sector Pblico,Dentro del plazo establecido por el SENESCYT (2 meses),Acudiendo a sitios de contratacin temporal,Ms de 2500 dlares,Local de una empresa o del patrono,Menos de 100,Descontento pero conforme,"Por no tener estabilidad laboral, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes, En la salud el pais necesita que los profesionales apliquen el conocimiento que adquirieron en el extranjero, pero siempre hay trabas por protocolos y guias que ya son antiguas y retrasan nuestro accionar y hay que esperar a que la paciencia de los que dirigen salud algun dia tomen en cuenta eso",No trabajaba anteriormente,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/18/18 22:40,Los Ros,Zona Urbana,Convocatoria Abierta,2008.00,2015,Maestria,"Ciencias sociales, derecho y humanidades",SI,,NO,,,,,,,,,,,,,,hace 1 semana,hace ms de 1 aÐo,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",No,Despido intempestivo,,,,,,,
4/23/18 20:20,Pichincha,Zona Urbana,Convocatoria Abierta,2008.00,2013,Doctorado,Salud y bienestar,SI,Enfermedad o accidente,SI,Si,Ms del 75%,Sector Pblico,Dentro del plazo establecido por el SENESCYT (2 meses),Volv a mi trabajo anterior,Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Sigue igual,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/24/18 21:32,El Oro,Zona Urbana,Convocatoria Abierta,2008.00,2011,Maestria,"Ciencias naturales, matemticas y estadstica",NO,No disponer de un empleo,SI,Si,Ms del 75%,Academia,Fuera del plazo establecido por el SENESCYT (ms de 1 aÐo),"Acudiendo a sitios de contratacin temporal, Hablando con amigos o parientes, Buscando en la prensa o radio, Acudiendo a agencias de empleo, Tratando de establecer su propio taller, empresa o negocio, Asistiendo a entrevistas, Buscando por Internet, Enviando o presentando hojas de vida (carpeta)",Entre 2000 a 2500 dlares,Su vivienda,Menos de 100,Descontento pero conforme,"Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales, Por no tener estabilidad laboral",Sigue igual,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/25/18 00:30,Loja,Zona Urbana,Convocatoria Abierta,2009.00,2010,Maestria,Tecnologas de la informacin y la comunicacin,NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 1 mes,hace 1 semana,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Colocar carteles o propagandas en tiendas o negocios, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Ms de 4 aÐos de experiencia laboral,Terminacin de contrato,,,,,,,
4/18/18 19:57,Pichincha,Zona Urbana,Convocatoria Abierta,2010.00,2014,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,Si,Menos del 25%,Academia,Fuera del plazo establecido por el SENESCYT (ms de 1 aÐo),Enviando o presentando hojas de vida (carpeta),Entre 500 a 1000 dlares mensuales,Su vivienda,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por horarios de trabajo Inconveniente, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar",Empeor,No,Menos de 40 horas,,,,,,Porque su trabajo as lo exige,Cambiar el (los) trabajo (s) actual (es) por otro trabajo con ms horas,S,Hasta 10 horas ms,"Buscar ms trabajo, Registro en agencia de empleo pblica o privada, Presentar solicitud a otros empleadores, Pedir ayuda a amigos o familiares","Porque no trabaja jornada completa, Los ingresos no son suficientes",
4/18/18 19:57,Pichincha,Zona Urbana,Convocatoria Abierta,2010.00,2012,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Ms del 75%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Acudiendo a sitios de contratacin temporal,Ms de 2500 dlares,Local de una empresa o del patrono,Menos de 100,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,"Horario normal, Horas extras"
