Descriptor,Descripcion
Timestamp,Fecha
Provincia,Provincia de origen del becario
Trabajo_Urbano/Rural,Donde el becario actualmente desarrolla sus actividades
Tipo_de_beca,Tipo del programa de becas al cual el becario aplico
Ano_Convocatoria,Ano en el cual el adjudico la beca
Ano_de_retorno,Ano de retorno a Ecuador
Grado_Academico,Grado Academico obtenido despues de los estudios con la beca del SENESCYT
Area_de_estudio,Area en la que el becario realizo sus estudios
Trabaja_actualmente,El becario se encuentra laborando actualmente?. Especificamente responde a la pregunta: Trabajo la semana pasada al menos una hora?
Motivo_de_si/no_trabaja,Explicacion de porque si o no trabaja.   Especificamente responde a la pregunta: En caso de no haber trabajado la semana pasada Cual fue la razon?
Empleo_seguro,"Tiene el becario empleo seguro?  Especificamente responde a la pregunta: Aunque haya trabajado o no la semana pasada, tiene algun trabajo (empleo con contrato), o negocio al cual seguro va a volver?"
Empleo_adecuado,Tiene el becario empleo adecuado?  Especificamente responde a la pregunta: Trabaja en el area de su especialización?
Transferencia_efectiva_de_habilidades,"El becario siente que hace una transferencia de su conocimiento  Especificamente responde a la pregunta: A su criterio, del conocimiento y habilidades adquiridas en sus estudios con beca del Senescyt, Cuanto efectivamente aplica en su trabajo actual."
Sector_laboral,En donde el becario se desempena laboralmente  Especificamente responde a la pregunta: En que sector trabaja?
Tiempo_en_encontrar_empleo,Cuanto tiempo (en meses) se demoro el becario en conseguir empleo  Especificamente responde a la pregunta: Cuanto tiempo le tomó en conseguir su primer trabajo luego de retornar al pais?
Calidad_primer_empleo,Cual es (fue) la calidad del primer empleo al regresar al pais  Especificamente responde a la pregunta: Como logro conseguir su primer empleo luego de retornar de sus estudios?
Categoria_salarial,Cuanto gana actualmente el becario  Especificamente responde a la pregunta: cual es su categoría salarial?
Lugar_de_trabajo,En donde trabaja el becario   Especificamente responde a la pregunta: En cual de los siguientes sitios o lugares trabaja
Numero_de_colegas,El becario se desempeña en grupos laborales extensos?  Especificamente responde a la pregunta: Cuantas personas trabajan usualmente en la empresa o negocio?
Satisfaccion_laboral,El becario se encuentra satisfecho con su condicion laboral.   Especificamente responde a la pregunta: Cómo se siente en su trabajo?
Motivo_(in)satisfaccion_laboral,"Razones de estar satisfecho / insatisfecho  Especificamente responde a la pregunta: De no encontrarse conforme, El motivo del descontento es?"
Calidad_relativa_de_empleo ,"Relativamente (en comparacion a antes de la beca) la situación del becario es.   Especificamente responde a la pregunta: En comparación a tu trabajo anterior, su trabajo actual ha..."
Satisfaccion_salarial,"El becario se encuentra satisfecho con su remuneracion laboral.   Especificamente responde a la pregunta: Estás conforme con tu categoría salarial, de acuerdo a tu preparación académica?"
Horas_semanales_de_trabajo,Cuantas horas trabaja semanalmente el becario  Especificamente responde a la pregunta: Cuantas horas trabajó la semana pasada o la última semana que trabajó?
Tiempo_de_paro,Cuanto tiempo el becario esta es paro (sin trabajar)  Especificamente responde a la pregunta: Cuándo fue la última vez que trabajó?
Tiempo_de_busqueda,Cuanto tiempo el becario busco empleo  Especificamente responde a la pregunta: Hace Cuanto tiempo busca trabajo?
Tipo_de_gestion,Que hizo el becario para encontrar empleo  Especificamente responde a la pregunta: Durante las últimas cuatro semanas hizo alguna gestión para buscar trabajo tal como:
Experiencia_laboral_previa,Tiene el becario expericia laboral previa  Especificamente responde a la pregunta: Posee experiencia laboral previa?
Motivos_dejar_previo_empleo,"Por que dejo su anterior trabajo (previo a la beca)  Especificamente responde a la pregunta: En caso de tener experiencia previa, Por qué motivos dejó de trabajar?"
Motivo_subempleo,Por que se considera subempleado  Especificamente responde a la pregunta: Por qué razón trabajó menos de 40 horas:
Deseos,"Que quisiera el becario para salir del subempleo  Especificamente responde a la pregunta: Tomando en cuenta el número de horas trabajadas la semana pasada, o la última semana que trabajó, desearía:"
Disponibilidad_para_trabajar,Esta disponible para trabajar el becario  Especificamente responde a la pregunta: Está disponible para trabajar horas adicionales a la semana?
Tiempo_disponible_para_trabajar,Cuanta disponibilidad tiene el becario  Especificamente responde a la pregunta: Cuantas horas adicionales a la semana estaría disponible para trabajar?
Gestiones_aumento_hora_empleo,"Que ha hecho el becario para incrementar su carga laboral  Especificamente responde a la pregunta: En las últimas cuatro semanas ha realizado alguna gestión para aumentar las horas de trabajo o cambiar de trabajo, tal como:"
Motivo_cambio_empleo,Por que quisiera cambiar de empleo el becario.   Especificamente responde a la pregunta: cual es la razón por la que buscaría cambiar la situación actual de su trabajo
Motivo_trabajo_mas_40hrs,Por que quisiera trabajar mas el becario.   Especificamente responde a la pregunta: Por qué razón trabajó la semana pasada 40 horas o más:
