Timestamp,Provincia,Trabajo_Urbano/Rural,Tipo_de_beca,Ano_Convocatoria,Ano_de_retorno,Grado_Academico,Area_de_estudio,Trabaja_actualmente,Motivo_de_si/no_trabaja,Empleo_seguro,Empleo_adecuado,Transferencia_efectiva_de_habilidades,Sector_laboral,Tiempo_en_encontrar_empleo,Calidad_primer_empleo,Categoria_salarial,Lugar_de_trabajo,Numero_de_colegas,Satisfaccion_laboral,Motivo_(in)satisfaccion_laboral,Calidad_relativa_de_empleo ,Satisfaccion_salarial,Horas_semanales_de_trabajo,Tiempo_de_paro,Tiempo_de_busqueda,Tipo_de_gestion,Experiencia_laboral_previa,Motivos_dejar_previo_empleo,Motivo_subempleo,Deseos,Disponibilidad_para_trabajar,Tiempo_disponible_para_trabajar,Gestiones_aumento_hora_empleo,Motivo_cambio_empleo,Motivo_trabajo_mas_40hrs
4/19/18 14:11,Azuay,Zona Urbana,Otras,2005,2007,Maestria,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,No,Menos del 25%,Sector Publico,6-Feb,"Hablando con amigos o parientes, Tratando de establecer su propio taller, empresa o negocio, Enviando o presentando hojas de vida (carpeta), Otra gestin",1000-1500,Local de una empresa o del patrono,Menos de 100,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por las pocas posibilidades de progresar",Igual,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
5/16/18 16:41,Santo Domingo de los Tsachilas,Zona Urbana,Otras,2005,2006,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,Si,Ms del 75%,Sector Publico,12 mas,"Enviando o presentando hojas de vida (carpeta), Otra gestin",Mas 2500,Local de una empresa o del patrono,Menos de 100,Contento,"Por no poder trabajar en el rea de su especializacin, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes, Estoy contento con mi trabajo",Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/20/18 18:02,Pichincha,Zona Urbana,Convocatoria Abierta,2007,2010,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Ms del 75%,Sector Privado,0-2,Hablando con amigos o parientes,1500-2000,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por tener ingresos bajos, Por muchas horas de trabajo, Por horarios de trabajo Inconveniente, Por excesiva carga de trabajo en horarios normales",Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Exceso de trabajo o clientes, Demasiada carga de trabajo. Han despedido a gente y hay que hacer el trabajo de ellos "
5/16/18 12:59,Guayas,Zona Rural,Otras,2007,2015,Otro,Salud y bienestar,SI,NA,SI,Si,Entre el 25% y el 50%,Sector Publico,0-2,Acudiendo a sitios de contratacin temporal,Mas 2500,Local de una empresa o del patrono,Menos de 100,Descontento pero conforme,"Por no tener estabilidad laboral, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes, En la salud el pais necesita que los profesionales apliquen el conocimiento que adquirieron en el extranjero, pero siempre hay trabas por protocolos y guias que ya son antiguas y retrasan nuestro accionar y hay que esperar a que la paciencia de los que dirigen salud algun dia tomen en cuenta eso",No trabajaba anteriormente,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/18/18 22:40,Los Rios,Zona Urbana,Convocatoria Abierta,2008,2015,Maestria,"Ciencias sociales, derecho y humanidades",SI,NA,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 semana,1 a̱o o mas,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",No,Despido intempestivo,NA,,NA,NA,,,
4/23/18 20:20,Pichincha,Zona Urbana,Convocatoria Abierta,2008,2013,Doctorado,Salud y bienestar,SI,Enfermedad o accidente,SI,Si,Ms del 75%,Sector Publico,0-2,Volv a mi trabajo anterior,Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Igual,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/24/18 21:32,El Oro,Zona Urbana,Convocatoria Abierta,2008,2011,Maestria,"Ciencias naturales, matemticas y estadistica",NO,No disponer de un empleo,SI,Si,Ms del 75%,Academia,12 mas,"Acudiendo a sitios de contratacin temporal, Hablando con amigos o parientes, Buscando en la prensa o radio, Acudiendo a agencias de empleo, Tratando de establecer su propio taller, empresa o negocio, Asistiendo a entrevistas, Buscando por Internet, Enviando o presentando hojas de vida (carpeta)",2000-2500,Su vivienda,Menos de 100,Descontento pero conforme,"Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales, Por no tener estabilidad laboral",Igual,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/25/18 00:30,Loja,Zona Urbana,Convocatoria Abierta,2009,2010,Maestria,Tecnologas de la informacion y la comunicacion,NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 mes,1 semana,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Colocar carteles o propagandas en tiendas o negocios, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",mas de 4 a̱os,Terminacin de contrato,NA,,NA,NA,,,
4/18/18 19:57,Pichincha,Zona Urbana,Convocatoria Abierta,2010,2014,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,Si,Menos del 25%,Academia,12 mas,Enviando o presentando hojas de vida (carpeta),500-1000,Su vivienda,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por horarios de trabajo Inconveniente, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar",Peor,No,Menos de 40 horas,NA,NA,,NA,NA,Porque su trabajo as lo exige,Cambiar el (los) trabajo (s) actual (es) por otro trabajo con ms horas,SI,Hasta 10 horas,"Buscar ms trabajo, Registro en agencia de empleo pblica o privada, Presentar solicitud a otros empleadores, Pedir ayuda a amigos o familiares","Porque no trabaja jornada completa, Los ingresos no son suficientes",
4/18/18 19:57,Pichincha,Zona Urbana,Convocatoria Abierta,2010,2012,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Ms del 75%,Sector Publico,6-Feb,Acudiendo a sitios de contratacin temporal,Mas 2500,Local de una empresa o del patrono,Menos de 100,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Horario normal, Horas extras"
